Travel Modes,Trip Characteristics,Region,Year,Average Trip Per Day,Average Trip Per Year
Bus/metro,Trip in November,Utrecht (PV),2018,,
Bus/metro,Trip in November,Utrecht (PV),2019,,
Bus/metro,Trip in November,Utrecht (PV),2020,,
Bus/metro,Trip in November,Utrecht (PV),2021,,
Bus/metro,Trip in November,Noord-Holland (PV),2018,0.11,3.0
Bus/metro,Trip in November,Noord-Holland (PV),2019,0.1,3.0
Bus/metro,Trip in November,Noord-Holland (PV),2020,,
Bus/metro,Trip in November,Noord-Holland (PV),2021,,
Bus/metro,Trip in November,Zuid-Holland (PV),2018,0.1,3.0
Bus/metro,Trip in November,Zuid-Holland (PV),2019,0.1,3.0
Bus/metro,Trip in November,Zuid-Holland (PV),2020,,
Bus/metro,Trip in November,Zuid-Holland (PV),2021,0.06,2.0
Bus/metro,Trip in November,Zeeland (PV),2018,,
Bus/metro,Trip in November,Zeeland (PV),2019,,
Bus/metro,Trip in November,Zeeland (PV),2020,,
Bus/metro,Trip in November,Zeeland (PV),2021,,
Bus/metro,Trip in November,Noord-Brabant (PV),2018,,
Bus/metro,Trip in November,Noord-Brabant (PV),2019,,
Bus/metro,Trip in November,Noord-Brabant (PV),2020,,
Bus/metro,Trip in November,Noord-Brabant (PV),2021,,
Bus/metro,Trip in November,Limburg (PV),2018,,
Bus/metro,Trip in November,Limburg (PV),2019,,
Bus/metro,Trip in November,Limburg (PV),2020,,
Bus/metro,Trip in November,Limburg (PV),2021,,
Bus/metro,Trip in November,The Netherlands,2018,0.1,3.0
Bus/metro,Trip in November,The Netherlands,2019,0.09,3.0
Bus/metro,Trip in November,The Netherlands,2020,0.04,1.0
Bus/metro,Trip in November,The Netherlands,2021,0.06,2.0
Bus/metro,Trip in November,Noord-Nederland (LD),2018,,
Bus/metro,Trip in November,Noord-Nederland (LD),2019,,
Bus/metro,Trip in November,Noord-Nederland (LD),2020,,
Bus/metro,Trip in November,Noord-Nederland (LD),2021,,
Bus/metro,Trip in November,Oost-Nederland (LD),2018,,
Bus/metro,Trip in November,Oost-Nederland (LD),2019,,
Bus/metro,Trip in November,Oost-Nederland (LD),2020,,
Bus/metro,Trip in November,Oost-Nederland (LD),2021,,
Bus/metro,Trip in November,West-Nederland (LD),2018,0.15,5.0
Bus/metro,Trip in November,West-Nederland (LD),2019,0.14,4.0
Bus/metro,Trip in November,West-Nederland (LD),2020,0.06,2.0
Bus/metro,Trip in November,West-Nederland (LD),2021,0.1,3.0
Bus/metro,Trip in November,Zuid-Nederland (LD),2018,,
Bus/metro,Trip in November,Zuid-Nederland (LD),2019,,
Bus/metro,Trip in November,Zuid-Nederland (LD),2020,,
Bus/metro,Trip in November,Zuid-Nederland (LD),2021,,
Bus/metro,Trip in November,Groningen (PV),2018,,
Bus/metro,Trip in November,Groningen (PV),2019,,
Bus/metro,Trip in November,Groningen (PV),2020,,
Bus/metro,Trip in November,Groningen (PV),2021,,
Bus/metro,Trip in November,Fryslân (PV),2018,,
Bus/metro,Trip in November,Fryslân (PV),2019,,
Bus/metro,Trip in November,Fryslân (PV),2020,,
Bus/metro,Trip in November,Fryslân (PV),2021,,
Bus/metro,Trip in November,Drenthe (PV),2018,,
Bus/metro,Trip in November,Drenthe (PV),2019,,
Bus/metro,Trip in November,Drenthe (PV),2020,,
Bus/metro,Trip in November,Drenthe (PV),2021,,
Bus/metro,Trip in November,Overijssel (PV),2018,,
Bus/metro,Trip in November,Overijssel (PV),2019,,
Bus/metro,Trip in November,Overijssel (PV),2020,,
Bus/metro,Trip in November,Overijssel (PV),2021,,
Bus/metro,Trip in November,Flevoland (PV),2018,,
Bus/metro,Trip in November,Flevoland (PV),2019,,
Bus/metro,Trip in November,Flevoland (PV),2020,,
Bus/metro,Trip in November,Flevoland (PV),2021,,
Bus/metro,Trip in November,Gelderland (PV),2018,,
Bus/metro,Trip in November,Gelderland (PV),2019,,
Bus/metro,Trip in November,Gelderland (PV),2020,,
Bus/metro,Trip in November,Gelderland (PV),2021,,
Bus/metro,Trip in November,Utrecht (PV),2018,,
Bus/metro,Trip in November,Utrecht (PV),2019,,
Bus/metro,Trip in November,Utrecht (PV),2020,,
Bus/metro,Trip in November,Utrecht (PV),2021,,
Bus/metro,Trip in November,Noord-Holland (PV),2018,0.2,6.0
Bus/metro,Trip in November,Noord-Holland (PV),2019,0.2,6.0
Bus/metro,Trip in November,Noord-Holland (PV),2020,,
Bus/metro,Trip in November,Noord-Holland (PV),2021,,
Bus/metro,Trip in November,Zuid-Holland (PV),2018,0.18,5.0
Bus/metro,Trip in November,Zuid-Holland (PV),2019,0.15,5.0
Bus/metro,Trip in November,Zuid-Holland (PV),2020,,
Bus/metro,Trip in November,Zuid-Holland (PV),2021,0.1,3.0
Bus/metro,Trip in November,Zeeland (PV),2018,,
Bus/metro,Trip in November,Zeeland (PV),2019,,
Bus/metro,Trip in November,Zeeland (PV),2020,,
Bus/metro,Trip in November,Zeeland (PV),2021,,
Bus/metro,Trip in November,Noord-Brabant (PV),2018,,
Bus/metro,Trip in November,Noord-Brabant (PV),2019,,
Bus/metro,Trip in November,Noord-Brabant (PV),2020,,
Bus/metro,Trip in November,Noord-Brabant (PV),2021,,
Bus/metro,Trip in November,Limburg (PV),2018,,
Bus/metro,Trip in November,Limburg (PV),2019,,
Bus/metro,Trip in November,Limburg (PV),2020,,
Bus/metro,Trip in November,Limburg (PV),2021,,
Bus/metro,Trip in December,The Netherlands,2018,0.09,3.0
Bus/metro,Trip in December,The Netherlands,2019,0.08,2.0
Bus/metro,Trip in December,The Netherlands,2020,0.02,1.0
Bus/metro,Trip in December,The Netherlands,2021,0.04,1.0
Bus/metro,Trip in December,Noord-Nederland (LD),2018,,
Bus/metro,Trip in December,Noord-Nederland (LD),2019,,
Bus/metro,Trip in December,Noord-Nederland (LD),2020,,
Bus/metro,Trip in December,Noord-Nederland (LD),2021,,
Bus/metro,Trip in December,Oost-Nederland (LD),2018,,
Bus/metro,Trip in December,Oost-Nederland (LD),2019,,
Bus/metro,Trip in December,Oost-Nederland (LD),2020,,
Bus/metro,Trip in December,Oost-Nederland (LD),2021,,
Bus/metro,Trip in December,West-Nederland (LD),2018,0.14,4.0
Bus/metro,Trip in December,West-Nederland (LD),2019,0.11,4.0
Bus/metro,Trip in December,West-Nederland (LD),2020,,
Bus/metro,Trip in December,West-Nederland (LD),2021,0.07,2.0
Bus/metro,Trip in December,Zuid-Nederland (LD),2018,,
Bus/metro,Trip in December,Zuid-Nederland (LD),2019,,
Bus/metro,Trip in December,Zuid-Nederland (LD),2020,,
Bus/metro,Trip in December,Zuid-Nederland (LD),2021,,
Bus/metro,Trip in December,Groningen (PV),2018,,
Bus/metro,Trip in December,Groningen (PV),2019,,
Bus/metro,Trip in December,Groningen (PV),2020,,
Bus/metro,Trip in December,Groningen (PV),2021,,
Bus/metro,Trip in December,Fryslân (PV),2018,,
Bus/metro,Trip in December,Fryslân (PV),2019,,
Bus/metro,Trip in December,Fryslân (PV),2020,,
Bus/metro,Trip in December,Fryslân (PV),2021,,
Bus/metro,Trip in December,Drenthe (PV),2018,,
Bus/metro,Trip in December,Drenthe (PV),2019,,
Bus/metro,Trip in December,Drenthe (PV),2020,,
Bus/metro,Trip in December,Drenthe (PV),2021,,
Bus/metro,Trip in December,Overijssel (PV),2018,,
Bus/metro,Trip in December,Overijssel (PV),2019,,
Bus/metro,Trip in December,Overijssel (PV),2020,,
Bus/metro,Trip in December,Overijssel (PV),2021,,
Bus/metro,Trip in December,Flevoland (PV),2018,,
Bus/metro,Trip in December,Flevoland (PV),2019,,
Bus/metro,Trip in December,Flevoland (PV),2020,,
Bus/metro,Trip in December,Flevoland (PV),2021,,
Bus/metro,Trip in December,Gelderland (PV),2018,,
Bus/metro,Trip in December,Gelderland (PV),2019,,
Bus/metro,Trip in December,Gelderland (PV),2020,,
Bus/metro,Trip in December,Gelderland (PV),2021,,
Bus/metro,Trip in December,Utrecht (PV),2018,,
Bus/metro,Trip in December,Utrecht (PV),2019,,
Bus/metro,Trip in December,Utrecht (PV),2020,,
Bus/metro,Trip in December,Utrecht (PV),2021,,
Bus/metro,Trip in December,Noord-Holland (PV),2018,0.16,5.0
Bus/metro,Trip in December,Noord-Holland (PV),2019,,
Bus/metro,Trip in December,Noord-Holland (PV),2020,,
Bus/metro,Trip in December,Noord-Holland (PV),2021,,
Bus/metro,Trip in December,Zuid-Holland (PV),2018,0.15,5.0
Bus/metro,Trip in December,Zuid-Holland (PV),2019,0.16,5.0
Bus/metro,Trip in December,Zuid-Holland (PV),2020,,
Bus/metro,Trip in December,Zuid-Holland (PV),2021,0.08,2.0
Bus/metro,Trip in December,Zeeland (PV),2018,,
Bus/metro,Trip in December,Zeeland (PV),2019,,
Bus/metro,Trip in December,Zeeland (PV),2020,,
Bus/metro,Trip in December,Zeeland (PV),2021,,
Bus/metro,Trip in December,Noord-Brabant (PV),2018,,
Bus/metro,Trip in December,Noord-Brabant (PV),2019,,
Bus/metro,Trip in December,Noord-Brabant (PV),2020,,
Bus/metro,Trip in December,Noord-Brabant (PV),2021,,
Bus/metro,Trip in December,Limburg (PV),2018,,
Bus/metro,Trip in December,Limburg (PV),2019,,
Bus/metro,Trip in December,Limburg (PV),2020,,
Bus/metro,Trip in December,Limburg (PV),2021,,
Bus/metro,Trip in December,The Netherlands,2018,0.07,2.0
Bus/metro,Trip in December,The Netherlands,2019,0.07,2.0
Bus/metro,Trip in December,The Netherlands,2020,0.01,0.0
Bus/metro,Trip in December,The Netherlands,2021,0.03,1.0
Bus/metro,Trip in December,Noord-Nederland (LD),2018,,
Bus/metro,Trip in December,Noord-Nederland (LD),2019,,
Bus/metro,Trip in December,Noord-Nederland (LD),2020,,
Bus/metro,Trip in December,Noord-Nederland (LD),2021,,
